,FerroScore,Immune_Score,FerroImmuno_Score
Pt1.baseline,0.6969667436937966,0.48251511279555953,0.6111860913345017
Pt2.baseline,0.0,0.5932742806692282,0.23730971226769126
Pt4.baseline,0.6584807623123226,0.25586579364536316,0.4974347748455388
Pt5.baseline,0.761495861389387,0.0921628488932924,0.49376265639094913
Pt6.baseline,1.0,0.16723878736724035,0.6668955149468961
Pt7.baseline,0.6181018367774478,0.19293456980819218,0.44803492998974553
Pt8.baseline,0.32348945246638117,0.3706734127541999,0.3423630365815087
Pt9.baseline,0.5090270639898136,0.48362710657418845,0.49886708102356353
Pt10.baseline,0.5178711330561745,0.0,0.31072267983370466
Pt12.baseline,0.6538486289342063,0.06237648060024514,0.4172597696006218
Pt13.baseline,0.8013506550942172,0.7116025784719655,0.7654514244453166
Pt14.baseline,0.7427692770490615,0.39224882633887265,0.6025610967649859
Pt15.baseline,0.8355011493015287,0.4801065834520723,0.6933433229617462
Pt16.OnTx,0.5656542901489992,0.14726188664339795,0.39829732874675866
Pt19.baseline,0.621989236856519,0.5396228423954832,0.5890426790721046
Pt20.baseline,0.6782313688799454,1.0,0.8069388213279672
Pt22.baseline,0.7408030221497254,0.6466168661255902,0.7031285597400714
Pt23.baseline,0.6619789309500816,0.5253199313567913,0.6073153311127655
Pt25.baseline,0.600606215039104,0.6675664817116229,0.6273903217081116
Pt27A.baseline,0.8353559074400536,0.6166640143249957,0.7478791501940304
Pt27B.baseline,0.933384271673048,0.43552933973197877,0.7342422988966203
Pt28.baseline,0.5008212091243411,0.2718312386220893,0.4092252209234404
Pt29.baseline,0.9205417300794432,0.5036850103005528,0.753799042167887
Pt31.baseline,0.3695533550527028,0.3126638866560501,0.34679756769404174
Pt32.baseline,0.6819941700817923,0.17686770863272533,0.47994358550216554
Pt35.baseline,0.30626394569458903,0.3858255316567892,0.33808858007946907
Pt37.baseline,0.2560131288361236,0.3289322839456959,0.2851807908799525
Pt38.baseline,0.9588199189635098,0.6763291743089666,0.8458236211016925
